N	T	R	t [s]
256	128000	1	0.055404
256	128000	2	0.052841
256	128000	4	0.08782
256	128000	8	0.096123
256	128000	16	0.251236
256	128000	32	0.263963
256	128000	64	0.277045
256	128000	128	0.254609
512	256000	1	0.244825
512	256000	2	0.163323
512	256000	4	0.205231
512	256000	8	0.203186
512	256000	16	0.500071
512	256000	32	0.520708
512	256000	64	0.539904
512	256000	128	0.490892
1024	512000	1	0.963276
1024	512000	2	0.587197
1024	512000	4	0.52132
1024	512000	8	0.465698
1024	512000	16	0.987939
1024	512000	32	1.015318
1024	512000	64	1.052105
1024	512000	128	0.966737
2048	1024000	1	3.821202
2048	1024000	2	2.109406
2048	1024000	4	1.58406
2048	1024000	8	1.175394
2048	1024000	16	2.062816
2048	1024000	32	2.039406
2048	1024000	64	2.050775
2048	1024000	128	1.943567
4096	2048000	1	15.437066
4096	2048000	2	8.289899
4096	2048000	4	5.074692
4096	2048000	8	3.315376
4096	2048000	16	4.578081
4096	2048000	32	4.18755
4096	2048000	64	4.085588
4096	2048000	128	3.956996
8192	4096000	1	62.002263
8192	4096000	2	32.312873
8192	4096000	4	18.227123
8192	4096000	8	10.668386
8192	4096000	16	11.534972
8192	4096000	32	9.340837
8192	4096000	64	8.705266
8192	4096000	128	8.107708